Price,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_5,MA_20,RSI,MACD,Signal_Line
Ticker,,,,,,,,,,,,
Date,,,,,,,,,,,,
2025-09-15,515.3600,515.4700,507.0000,508.7900,17143800.0000,515.3600,,,,,0.0000,0.0000
2025-09-16,509.0400,517.2300,508.6000,516.8800,19711900.0000,509.0400,-0.0123,,,,0.0000,0.0000
2025-09-17,510.0200,511.2900,505.9300,510.6200,15816600.0000,510.0200,0.0019,,,,0.0000,0.0000
2025-09-18,508.4500,513.0700,507.6600,511.4900,18913700.0000,508.4500,-0.0031,,,11.0483,0.0000,0.0000
2025-09-19,517.9300,519.3000,510.3100,510.5600,52371500.0000,517.9300,0.0186,512.1600,,57.0028,0.0000,0.0000
