Price,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_5,MA_20,RSI,MACD,Signal_Line
Ticker,,,,,,,,,,,,
Date,,,,,,,,,,,,
2025-09-15,236.7000,238.1900,235.0300,237.0000,42699500.0000,236.7000,,,,,0.0000,0.0000
2025-09-16,238.1500,241.2200,236.3200,237.1800,63421100.0000,238.1500,0.0061,,,,0.0000,0.0000
2025-09-17,238.9900,240.1000,237.7300,238.9700,46508000.0000,238.9900,0.0035,,,,0.0000,0.0000
2025-09-18,237.8800,241.2000,236.6500,239.9700,44249600.0000,237.8800,-0.0046,,,67.3530,0.0000,0.0000
2025-09-19,245.5000,246.3000,240.2100,241.2300,163470300.0000,245.5000,0.0320,239.4440,,89.9274,0.0000,0.0000
